SampleNumber,AngleOfAttack_deg,ForceX_N,ForceY_N,ForceZ_N,TorqueX_Nm,TorqueY_Nm,TorqueZ_Nm,TaredBaratronVoltage
121.000000,0.000000,3.950380,18.302061,-17.049330,0.691236,0.147171,-0.011974,0.019767
122.000000,0.000000,3.919694,18.295294,-17.073010,0.686440,0.145769,-0.011821,0.023312
123.000000,0.000000,3.967666,18.365424,-16.942700,0.692645,0.146059,-0.008995,0.023635
124.000000,0.000000,4.045784,18.325216,-17.079271,0.688756,0.147388,-0.011999,0.021701
125.000000,0.000000,3.942632,18.290700,-16.991259,0.691789,0.147162,-0.015171,0.022990
126.000000,0.000000,3.947681,18.291630,-17.062204,0.686897,0.148294,-0.011258,0.022345
127.000000,0.000000,3.966486,18.328132,-16.924948,0.690305,0.145780,-0.008016,0.021056
128.000000,0.000000,3.956368,18.315729,-16.974019,0.687117,0.144546,-0.010733,0.026536
129.000000,0.000000,3.956535,18.306575,-17.309875,0.690212,0.143605,-0.018322,0.021378
130.000000,0.000000,3.936405,18.318636,-16.950636,0.689223,0.145275,-0.002527,0.019444
131.000000,0.000000,3.930770,18.341211,-17.042716,0.689090,0.143820,-0.014846,0.023312
132.000000,0.000000,3.946573,18.371983,-16.951921,0.693437,0.145591,-0.014158,0.022023
133.000000,0.000000,3.977972,18.303311,-17.055477,0.685365,0.145211,-0.008404,0.022345
134.000000,0.000000,3.915189,18.285666,-17.066395,0.691751,0.147441,-0.015839,0.022345
135.000000,0.000000,4.016561,18.329572,-17.120931,0.686452,0.146265,-0.012113,0.022345
136.000000,0.000000,3.965510,18.256405,-16.888265,0.689956,0.148647,-0.016257,0.040075
137.000000,0.000000,3.919897,18.341161,-16.857055,0.685454,0.144790,-0.003003,0.027503
138.000000,0.000000,3.948748,18.323392,-17.105323,0.690391,0.148112,-0.023592,0.020734
139.000000,0.000000,3.999029,18.309469,-16.972595,0.687506,0.146629,0.001626,0.021378
140.000000,0.000000,3.936701,18.291005,-16.948533,0.688247,0.145653,-0.018081,0.021378
141.000000,0.000000,3.918046,18.376534,-16.958289,0.689461,0.146059,-0.005370,0.022345
142.000000,0.000000,3.969574,18.335941,-17.031055,0.687631,0.146209,-0.008394,0.022668
143.000000,0.000000,3.961030,18.320062,-17.023328,0.689590,0.146167,-0.020340,0.023312
144.000000,0.000000,3.987083,18.283141,-17.039509,0.686284,0.145271,-0.005255,0.019444
145.000000,0.000000,3.958661,18.348578,-16.934079,0.691500,0.145587,-0.011164,0.028470
146.000000,0.000000,3.973556,18.360521,-17.145717,0.686815,0.147639,-0.008755,0.021378
147.000000,0.000000,4.027804,18.325308,-17.038597,0.691122,0.147346,-0.023520,0.022345
148.000000,0.000000,3.993774,18.302654,-16.989525,0.687890,0.146977,0.004659,0.022668
149.000000,0.000000,3.944364,18.362255,-17.007948,0.692209,0.146542,-0.023197,0.021378
150.000000,0.000000,3.973073,18.373121,-17.027615,0.687871,0.150028,-0.006072,0.022668
151.000000,0.000000,4.009387,18.217689,-17.077539,0.684641,0.146926,-0.016493,0.023635
152.000000,0.000000,3.875648,18.377785,-16.982728,0.691353,0.149159,0.000575,0.022345
153.000000,0.000000,4.006807,18.367068,-16.985144,0.687382,0.148454,-0.025113,0.028148
154.000000,0.000000,4.013080,18.295554,-16.879486,0.687832,0.147064,-0.011961,0.021701
155.000000,0.000000,3.910759,18.311050,-17.103282,0.683577,0.147699,-0.004601,0.027825
156.000000,0.000000,3.922698,18.376038,-16.954586,0.690709,0.149840,-0.017018,0.024279
157.000000,0.000000,4.080404,18.299442,-17.041754,0.685168,0.148958,-0.010033,0.022668
158.000000,0.000000,3.943612,18.270344,-16.911241,0.688943,0.151046,-0.008311,0.022345
159.000000,0.000000,3.876582,18.384991,-17.069820,0.686593,0.149722,-0.011330,0.022990
160.000000,0.000000,4.022905,18.338229,-16.996191,0.689108,0.147584,-0.013034,0.022023
161.000000,0.000000,4.001659,18.355225,-17.004421,0.687878,0.147552,-0.007837,0.013642
162.000000,0.000000,3.938736,18.344524,-17.079123,0.688013,0.148684,-0.012661,0.030082
163.000000,0.000000,4.001018,18.366527,-16.878118,0.689189,0.148920,-0.018399,0.022023
164.000000,0.000000,4.010392,18.322616,-17.087830,0.686102,0.146228,-0.007814,0.021056
165.000000,0.000000,3.923988,18.347635,-17.042253,0.691778,0.146063,-0.017564,0.021056
166.000000,0.000000,4.005813,18.372913,-17.037108,0.686698,0.147177,-0.009401,0.022345
167.000000,0.000000,4.015024,18.337321,-16.964388,0.690255,0.146711,-0.015206,0.021701
168.000000,0.000000,3.980149,18.282197,-17.070027,0.684174,0.147175,-0.001926,0.022023
169.000000,0.000000,3.980976,18.298443,-16.995768,0.687439,0.147650,-0.013465,0.022990
170.000000,0.000000,4.003588,18.322989,-16.939452,0.689577,0.146876,-0.009177,0.022345
171.000000,0.000000,3.987253,18.263206,-17.029200,0.686059,0.147272,-0.005120,0.022990
172.000000,0.000000,3.917757,18.361912,-16.889140,0.690260,0.148374,-0.016485,0.029115
173.000000,0.000000,3.972363,18.361525,-17.096857,0.687490,0.147279,-0.004031,0.021056
174.000000,0.000000,3.952745,18.331254,-17.131307,0.690483,0.147195,-0.021852,0.022345
175.000000,0.000000,3.952848,18.345895,-16.990296,0.687696,0.146178,-0.000202,0.022023
176.000000,0.000000,3.962165,18.356800,-16.999253,0.691437,0.146184,-0.022207,0.022023
177.000000,0.000000,3.991310,18.351003,-17.080386,0.688069,0.147209,-0.003763,0.021056
178.000000,0.000000,3.981230,18.293774,-17.112651,0.687899,0.147856,-0.012827,0.006873
179.000000,0.000000,3.931321,18.313875,-17.055617,0.690687,0.149248,-0.011811,0.022345
180.000000,0.000000,4.039152,18.307899,-16.994625,0.687330,0.148238,-0.007875,0.029437
181.000000,0.000000,3.931349,18.333678,-16.808194,0.691979,0.147298,-0.011219,0.021701
182.000000,0.000000,4.002286,18.291397,-17.238012,0.687945,0.146637,-0.020111,0.020734
183.000000,0.000000,4.007531,18.294945,-17.111575,0.692066,0.143614,-0.000751,0.021056
184.000000,0.000000,3.911344,18.355121,-16.897191,0.689461,0.148592,-0.012165,0.022668
185.000000,0.000000,3.995761,18.342986,-17.062044,0.689709,0.148122,-0.028093,0.022023
186.000000,0.000000,4.027186,18.282573,-17.054520,0.686298,0.146781,-0.000225,0.021056
187.000000,0.000000,3.828616,18.371875,-16.989923,0.690375,0.149399,-0.012931,0.021701
188.000000,0.000000,3.958566,18.363979,-16.955744,0.689377,0.147253,-0.015465,0.022668
189.000000,0.000000,4.059096,18.301589,-16.987145,0.688201,0.147433,-0.010337,0.022023
190.000000,0.000000,3.852198,18.333520,-17.037786,0.688745,0.151230,-0.000984,0.021378
191.000000,0.000000,3.949711,18.355932,-16.970897,0.686246,0.146303,-0.022228,0.022345
192.000000,0.000000,4.069772,18.328786,-16.938795,0.691567,0.147800,-0.009774,0.022023
193.000000,0.000000,3.913451,18.317621,-17.048070,0.688800,0.148046,-0.003466,0.022990
194.000000,0.000000,3.900068,18.357480,-17.007392,0.693336,0.148369,-0.026913,0.023312
195.000000,0.000000,4.080729,18.288461,-16.988366,0.687788,0.145891,-0.005894,-0.000541
196.000000,0.000000,3.916342,18.315755,-16.959692,0.691557,0.146095,-0.007399,0.022345
197.000000,0.000000,3.869820,18.361908,-17.013936,0.689383,0.147979,-0.027048,0.031371
198.000000,0.000000,4.026470,18.310283,-17.022901,0.689695,0.146686,-0.007276,0.022990
199.000000,0.000000,3.930659,18.305464,-16.864006,0.687916,0.146931,-0.015238,0.022023
0.000000,0.000000,3.900183,18.322231,-16.977462,0.689020,0.143548,-0.005665,0.022990
1.000000,0.000000,4.015487,18.305487,-16.884116,0.691926,0.144932,-0.012239,0.023957
2.000000,0.000000,3.982585,18.277926,-17.019427,0.686716,0.149341,-0.004392,0.022345
3.000000,0.000000,3.921156,18.323375,-16.899428,0.690707,0.147205,-0.010021,0.021701
4.000000,0.000000,3.981827,18.282271,-17.023645,0.689113,0.145929,-0.012161,0.023957
5.000000,0.000000,4.011916,18.279843,-17.083363,0.688377,0.143958,-0.006250,0.022345
6.000000,0.000000,3.914536,18.330873,-17.007738,0.689923,0.146036,-0.019747,0.009451
7.000000,0.000000,3.960804,18.372362,-16.967074,0.689668,0.144814,-0.008122,0.021056
8.000000,0.000000,3.978559,18.325170,-16.857514,0.691261,0.145353,-0.029068,0.021378
9.000000,0.000000,3.940474,18.263601,-17.074935,0.686216,0.145140,0.010751,0.024279
10.000000,0.000000,3.908721,18.355418,-17.016222,0.691426,0.146237,-0.028650,0.023635
11.000000,0.000000,4.050834,18.346877,-17.030961,0.688753,0.145215,-0.014615,0.024924
12.000000,0.000000,3.992106,18.265410,-17.028187,0.685394,0.147629,-0.007137,0.011063
13.000000,0.000000,3.869223,18.326908,-17.007305,0.689597,0.147896,-0.008931,0.020089
14.000000,0.000000,4.044087,18.325786,-17.085402,0.686656,0.148385,-0.010702,0.027503
15.000000,0.000000,4.001512,18.293738,-16.971611,0.690209,0.148299,-0.014201,0.022668
16.000000,0.000000,3.888285,18.293098,-16.996086,0.684950,0.147924,-0.003500,0.023635
17.000000,0.000000,3.976523,18.395703,-16.940521,0.691899,0.146333,-0.024820,0.021378
18.000000,0.000000,4.032821,18.292968,-17.058462,0.687102,0.142861,-0.002532,0.023312
19.000000,0.000000,3.901233,18.314624,-16.889520,0.691341,0.149010,-0.018217,0.021056
20.000000,0.000000,3.969092,18.368899,-17.115512,0.689224,0.146321,-0.005310,0.023312
21.000000,0.000000,4.055651,18.377255,-17.061182,0.690149,0.148253,-0.027963,0.019122
22.000000,0.000000,3.906766,18.280568,-17.074206,0.689269,0.148137,0.005606,0.020411
23.000000,0.000000,3.993740,18.358666,-17.043683,0.687305,0.148280,-0.027238,0.012675
24.000000,0.000000,4.039482,18.373146,-16.977980,0.690233,0.150132,-0.006555,0.023312
25.000000,0.000000,3.998543,18.288618,-17.028362,0.686867,0.147984,-0.011013,0.022990
26.000000,0.000000,3.913616,18.323869,-16.995309,0.689865,0.150628,-0.016435,0.022990
27.000000,0.000000,4.033131,18.302999,-17.028191,0.684211,0.145828,-0.009308,0.022345
28.000000,0.000000,3.954779,18.370885,-16.891211,0.690595,0.145786,-0.016359,0.023635
29.000000,0.000000,3.922383,18.331202,-17.003518,0.685450,0.148063,-0.009541,0.025246
30.000000,0.000000,3.968988,18.370014,-17.078854,0.689767,0.149175,-0.018130,0.022990
31.000000,0.000000,4.013592,18.289712,-17.022844,0.686824,0.145547,-0.000667,0.021378
32.000000,0.000000,3.936983,18.331965,-16.966619,0.688740,0.144210,-0.020074,0.021378
33.000000,0.000000,3.987094,18.331524,-17.041709,0.688965,0.144875,-0.002641,0.022345
34.000000,0.000000,4.002203,18.332248,-16.967201,0.684337,0.148660,-0.015066,0.022668
35.000000,0.000000,3.957628,18.325233,-16.987507,0.688650,0.149988,0.002389,0.017510
36.000000,0.000000,3.999046,18.344227,-16.953680,0.687790,0.146714,-0.028016,0.025246
37.000000,0.000000,4.050983,18.353542,-16.909978,0.691291,0.144085,0.003170,0.021378
38.000000,0.000000,3.921107,18.347213,-17.003797,0.686376,0.147637,-0.018887,0.022023
39.000000,0.000000,3.945090,18.363061,-16.988862,0.690791,0.148838,-0.013851,0.022668
40.000000,0.000000,3.979245,18.341435,-16.970869,0.687464,0.147697,-0.010296,0.024924
41.000000,0.000000,3.943823,18.309103,-16.923552,0.688910,0.146463,-0.011180,0.023312
42.000000,0.000000,3.937720,18.347702,-16.963481,0.686341,0.146335,-0.013307,0.022345
43.000000,0.000000,4.023583,18.326145,-16.997605,0.688954,0.145857,-0.014914,0.022345
44.000000,0.000000,3.968013,18.327366,-16.818724,0.686293,0.149652,-0.006059,0.022990
45.000000,0.000000,3.913573,18.314410,-16.886451,0.684735,0.147956,-0.011766,0.025569
46.000000,0.000000,3.980530,18.304134,-16.979825,0.687961,0.147392,-0.011456,0.024924
47.000000,0.000000,4.040559,18.294432,-17.029374,0.686474,0.145750,-0.013194,0.023957
48.000000,0.000000,3.921764,18.296077,-16.964509,0.687561,0.147425,-0.002087,0.022990
49.000000,0.000000,3.984424,18.364101,-17.020141,0.686832,0.147582,-0.014151,0.022668
50.000000,0.000000,3.978799,18.352744,-17.070095,0.688625,0.148472,-0.021171,0.022990
51.000000,0.000000,3.922137,18.254291,-17.055264,0.686868,0.148062,-0.002197,0.022990
52.000000,0.000000,3.915086,18.377228,-16.982931,0.690243,0.145613,-0.023198,0.019122
53.000000,0.000000,4.049640,18.369919,-16.929903,0.689462,0.147029,-0.010913,0.020411
54.000000,0.000000,3.993202,18.265320,-16.963601,0.688923,0.146957,-0.018247,0.025246
55.000000,0.000000,3.868907,18.329093,-16.923156,0.691006,0.149979,-0.005514,0.021378
56.000000,0.000000,4.012892,18.359621,-16.919904,0.689852,0.148595,-0.024716,0.022345
57.000000,0.000000,4.038997,18.272384,-16.979017,0.688526,0.148417,-0.003432,0.024602
58.000000,0.000000,3.890155,18.276302,-17.013004,0.685473,0.147742,-0.007383,0.021701
59.000000,0.000000,3.938937,18.325110,-16.972460,0.690541,0.149080,-0.007826,0.027181
60.000000,0.000000,4.003224,18.337738,-16.985109,0.686053,0.148509,-0.015195,0.023957
61.000000,0.000000,3.894578,18.286189,-17.007243,0.688620,0.147596,-0.001333,0.022345
62.000000,0.000000,3.941237,18.340778,-17.064533,0.687964,0.145791,-0.020450,0.021701
63.000000,0.000000,3.991916,18.334396,-17.017939,0.690157,0.144421,-0.001215,0.022345
64.000000,0.000000,3.920784,18.295855,-16.971751,0.687370,0.147544,-0.013596,0.021056
65.000000,0.000000,3.909145,18.324889,-17.007259,0.690551,0.147402,-0.015857,0.022023
66.000000,0.000000,4.023825,18.315372,-16.974600,0.689972,0.144601,-0.013348,0.025246
67.000000,0.000000,3.986471,18.306162,-16.967492,0.691006,0.144938,-0.010025,0.021701
68.000000,0.000000,3.921602,18.308444,-17.057120,0.690834,0.148088,-0.009939,0.022345
69.000000,0.000000,3.973327,18.293283,-17.047570,0.689506,0.147298,-0.014151,0.022345
70.000000,0.000000,3.996030,18.269395,-16.947934,0.689412,0.146669,-0.012067,0.022668
71.000000,0.000000,3.961163,18.261099,-16.943007,0.688537,0.143538,-0.006022,0.021701
72.000000,0.000000,3.974917,18.374408,-16.993769,0.690398,0.143348,-0.007540,0.022668
73.000000,0.000000,3.976459,18.315202,-17.125159,0.688354,0.143773,-0.012819,0.022023
74.000000,0.000000,3.906056,18.324780,-16.976163,0.689312,0.144756,-0.008974,0.021378
75.000000,0.000000,3.920932,18.337154,-17.023785,0.686891,0.145815,-0.002766,0.022345
76.000000,0.000000,3.972748,18.352362,-16.977134,0.690421,0.141766,-0.028282,0.029437
77.000000,0.000000,4.021140,18.284669,-17.057839,0.686512,0.143871,0.004235,0.021378
78.000000,0.000000,3.883927,18.328953,-16.970825,0.689692,0.149699,-0.025502,0.020089
79.000000,0.000000,4.011202,18.351303,-16.935192,0.688069,0.150196,-0.008161,0.021378
80.000000,0.000000,4.108567,18.361560,-16.838699,0.690543,0.145653,-0.019052,0.023635
81.000000,0.000000,3.926086,18.247694,-17.006403,0.688163,0.148074,0.002524,0.022023
82.000000,0.000000,3.967539,18.373682,-17.114817,0.690062,0.145866,-0.027613,0.019767
83.000000,0.000000,4.004215,18.334827,-16.982658,0.692079,0.147154,-0.006841,0.018799
84.000000,0.000000,3.903561,18.311240,-16.986738,0.685664,0.148883,-0.007243,0.023312
85.000000,0.000000,3.926292,18.358792,-17.015342,0.691902,0.148639,-0.010662,0.027825
86.000000,0.000000,3.984687,18.373564,-17.002947,0.686007,0.147291,-0.017038,0.022668
87.000000,0.000000,3.921564,18.287140,-17.023628,0.690329,0.147965,-0.009822,0.022345
88.000000,0.000000,3.885496,18.327884,-16.985160,0.685879,0.150813,-0.008952,0.022023
89.000000,0.000000,4.015596,18.344037,-16.885965,0.690345,0.150179,-0.017109,0.023957
90.000000,0.000000,3.996471,18.305626,-17.075507,0.684751,0.149670,-0.009255,0.022990
91.000000,0.000000,3.908873,18.303821,-17.057448,0.688625,0.146953,-0.003323,0.022990
